0	12
0	13
0	81
0	123
0	125
0	153
0	191
0	230
0	236
0	238
0	259
0	297
0	315
0	335
0	336
0	338
0	363
0	372
0	373
0	374
0	388
0	389
0	390
0	391
0	392
0	394
0	395
0	410
0	412
0	413
0	429
0	430
0	431
0	442
0	444
0	454
0	510
0	515
0	519
0	522
0	529
0	541
0	555
1	26
1	28
1	39
1	43
1	49
1	59
1	67
1	83
1	84
1	137
1	139
1	141
1	145
1	148
1	168
1	179
1	180
1	182
1	215
1	239
1	240
1	296
1	300
1	302
1	305
1	322
1	375
1	377
1	378
1	382
1	385
1	387
1	413
1	414
1	415
1	452
1	453
1	458
1	459
1	492
1	538
1	547
1	549
1	553
1	587
2	54
2	95
2	96
2	99
2	101
2	106
2	118
2	130
2	132
2	133
2	137
2	158
2	165
2	202
2	231
2	247
2	283
2	287
2	291
2	311
2	323
2	344
2	393
2	396
2	397
2	421
2	422
2	423
2	430
2	444
2	445
2	458
2	491
2	494
2	501
2	503
2	510
2	518
2	519
2	521
2	522
2	523
2	525
2	538
2	554
2	560
2	572
2	573
2	588
3	30
3	99
3	115
3	119
3	120
3	124
3	139
3	142
3	144
3	145
3	155
3	159
3	169
3	174
3	224
3	240
3	261
3	262
3	263
3	324
3	393
3	422
3	423
3	427
3	433
3	447
3	448
3	467
3	475
3	477
3	478
3	484
3	496
3	518
3	520
3	535
3	563
3	564
4	6
4	20
4	29
4	37
4	63
4	64
4	90
4	91
4	92
4	95
4	96
4	105
4	109
4	118
4	151
4	173
4	175
4	176
4	184
4	186
4	189
4	191
4	192
4	193
4	221
4	242
4	281
4	305
4	314
4	315
4	327
4	328
4	333
4	334
4	382
4	386
4	412
4	414
4	432
4	445
4	448
4	450
4	451
4	489
4	490
4	494
4	590
